id,date,lon,lat,depth,type,level,loc,incident,city,province
2256,2019-06-23 05:00:00,122.97,23.68,9,Ms,4.1,台湾花莲海域,天然地震,[],[]
2257,2019-06-22 22:29:56,104.94,28.4,10,Ms,5.6,四川长宁,天然地震,宜宾市,四川省
2258,2019-06-22 20:30:26,104.83,28.39,6,ML,3.4,四川珙县,天然地震,宜宾市,四川省
2259,2019-06-22 17:53:57,77.82,37.62,21,ML,3.2,新疆皮山,天然地震,和田地区,新疆维吾尔自治区
2260,2019-06-22 09:29:24,104.81,28.42,6,ML,3.2,四川珙县,天然地震,宜宾市,四川省
2261,2019-06-22 09:28:04,104.82,28.42,8,ML,3.1,四川珙县,天然地震,宜宾市,四川省
2262,2019-06-21 15:09:55,104.76,28.44,7,ML,3.4,四川长宁,天然地震,宜宾市,四川省
2263,2019-06-21 10:01:36,104.79,28.42,8,ML,3.1,四川珙县,天然地震,宜宾市,四川省
2264,2019-06-21 06:56:49,104.78,28.44,5,ML,3.3,四川长宁,天然地震,宜宾市,四川省
2265,2019-06-20 22:47:51,87.52,28.89,6,ML,3.0,西藏拉孜,天然地震,日喀则市,西藏自治区
2266,2019-06-20 22:01:16,104.75,28.41,6,ML,3.6,四川珙县,天然地震,宜宾市,四川省
2267,2019-06-20 20:58:45,104.73,28.43,9,ML,3.5,四川长宁,天然地震,宜宾市,四川省
2268,2019-06-20 14:28:59,104.76,28.43,8,ML,3.1,四川珙县,天然地震,宜宾市,四川省
2269,2019-06-20 13:17:12,104.75,28.43,10,ML,3.1,四川珙县,天然地震,宜宾市,四川省
2270,2019-06-20 10:55:52,104.83,28.4,5,ML,3.0,四川长宁,天然地震,宜宾市,四川省
2271,2019-06-20 01:44:32,104.75,28.42,7,ML,3.2,四川珙县,天然地震,宜宾市,四川省
2272,2019-06-19 03:25:29,104.82,28.41,6,ML,3.0,四川珙县,天然地震,宜宾市,四川省
2273,2019-06-18 18:53:58,104.86,28.39,4,ML,3.1,四川长宁,天然地震,宜宾市,四川省
2274,2019-06-18 14:38:36,104.73,28.43,9,ML,3.5,四川长宁,天然地震,宜宾市,四川省
2275,2019-06-18 13:23:42,104.79,28.42,7,ML,3.2,四川珙县,天然地震,宜宾市,四川省
